epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
33,175379,1.37761,2.31406,1.35521,0.00807,0.2573,0.75002,0.59028,0.66798,0.49782,0.74854,0.57555,0.64269,0.4326,1.19504,2.10899,1.07133,0.00911,0,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,179361,1.37705,2.30998,1.3454,0.00804,0.25566,0.74301,0.59115,0.66774,0.49789,0.74709,0.57078,0.64253,0.43267,1.19429,2.10701,1.06972,0.00911,0,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,183188,1.37234,2.30682,1.34352,0.00803,0.25586,0.73276,0.59658,0.6679,0.49913,0.73443,0.57997,0.64385,0.43308,1.19461,2.10625,1.06743,0.0091,0,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,186964,1.37228,2.30518,1.34312,0.008,0.25403,0.73164,0.5987,0.66857,0.49995,0.73731,0.57715,0.64442,0.43325,1.1944,2.1064,1.06545,0.00912,0,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,190784,1.36616,2.30036,1.33569,0.00795,0.2538,0.73459,0.60243,0.66932,0.50021,0.74028,0.58085,0.64772,0.43427,1.1949,2.10257,1.06278,0.00913,0,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,194571,1.36747,2.2986,1.33491,0.00797,0.25247,0.73708,0.60222,0.67076,0.5009,0.7435,0.58024,0.64739,0.43521,1.19302,2.10033,1.06201,0.0091,0,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,198360,1.36229,2.29372,1.33038,0.00793,0.25106,0.75553,0.59669,0.67254,0.50238,0.75426,0.57845,0.64941,0.43561,1.19162,2.09876,1.06077,0.00908,0,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,202287,1.36201,2.28953,1.32813,0.00793,0.25134,0.75347,0.59959,0.67391,0.50382,0.75726,0.58153,0.6508,0.43679,1.19185,2.09775,1.05689,0.00908,0,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,206177,1.35732,2.27881,1.323,0.00795,0.24773,0.76419,0.5961,0.67465,0.50473,0.76073,0.58193,0.65118,0.43775,1.19267,2.09948,1.05389,0.00909,0,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,209937,1.35938,2.28383,1.32134,0.00789,0.24832,0.75418,0.60103,0.67518,0.5048,0.74852,0.5865,0.65213,0.43791,1.19067,2.09419,1.05193,0.00908,0,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,213720,1.35456,2.27716,1.31806,0.00787,0.24747,0.75558,0.59857,0.67474,0.50453,0.7596,0.57755,0.65156,0.43766,1.19038,2.09392,1.05131,0.00908,0,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
