epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
59,158971,1.31884,1.25522,0.00744,0.76832,0.61046,0.68476,0.51277,1.17879,1.03624,0.00876,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,160987,1.31893,1.25255,0.00741,0.7702,0.61434,0.68592,0.51337,1.17645,1.0343,0.00874,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,163011,1.31139,1.24408,0.00739,0.77394,0.61027,0.68614,0.51338,1.17702,1.03171,0.00877,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,165009,1.31022,1.23822,0.00738,0.77855,0.61009,0.6871,0.51398,1.17588,1.0296,0.00875,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,167027,1.31148,1.23518,0.00734,0.76926,0.61241,0.6873,0.51378,1.17569,1.02786,0.00878,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,168921,1.30516,1.22489,0.00729,0.78956,0.60625,0.68746,0.51471,1.17577,1.02602,0.00877,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,170798,1.30531,1.22428,0.00725,0.78264,0.60957,0.68721,0.5157,1.17634,1.02261,0.00878,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,172709,1.30095,1.21841,0.00723,0.77902,0.61424,0.68825,0.51504,1.17352,1.02547,0.00873,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,174661,1.29671,1.21551,0.00721,0.77516,0.61463,0.68894,0.51584,1.17462,1.01937,0.00874,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,176632,1.29846,1.20705,0.00717,0.77455,0.61534,0.6899,0.51681,1.17212,1.01813,0.00873,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,178669,1.28889,1.19906,0.00715,0.76869,0.6246,0.69176,0.51863,1.16982,1.01583,0.0087,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,180658,1.28754,1.19657,0.00712,0.78547,0.61267,0.69108,0.51866,1.16846,1.01541,0.00869,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,182597,1.28149,1.18739,0.00711,0.78019,0.61695,0.69127,0.51927,1.16677,1.01626,0.00867,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,184479,1.2807,1.18615,0.00706,0.766,0.62501,0.69039,0.51853,1.16605,1.01478,0.00866,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,186368,1.27759,1.17844,0.00701,0.77819,0.62114,0.69154,0.52071,1.16573,1.01242,0.00865,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,188258,1.27605,1.1705,0.00699,0.77574,0.62319,0.69343,0.5205,1.16507,1.00995,0.00864,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,190203,1.27054,1.16308,0.00695,0.76748,0.62727,0.69321,0.52052,1.16384,1.00911,0.00862,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
